,A1,A2,A3,A4,A5,A6,A7,A8,A9
36536,41.0,0.0,78.0,0.0,38.0,-11.0,37.0,39.0,2.0
32574,47.0,-1.0,88.0,-1.0,46.0,0.0,40.0,41.0,0.0
37845,37.0,0.0,80.0,0.0,34.0,9.0,43.0,46.0,2.0
24658,37.0,0.0,81.0,0.0,16.0,4.0,44.0,65.0,22.0
44462,56.0,0.0,97.0,0.0,52.0,13.0,41.0,,4.0
9599,51.0,0.0,,0.0,52.0,13.0,33.0,32.0,0.0
4631,37.0,0.0,79.0,,0.0,9.0,42.0,79.0,36.0
240,,0.0,78.0,0.0,12.0,11.0,41.0,65.0,
48821,37.0,0.0,96.0,0.0,12.0,-6.0,59.0,83.0,
15424,,0.0,81.0,0.0,42.0,0.0,40.0,40.0,0.0
29511,108.0,3.0,109.0,2.0,72.0,4.0,1.0,36.0,36.0
12197,55.0,0.0,97.0,0.0,50.0,12.0,42.0,48.0,6.0
50748,53.0,-1.0,79.0,8.0,54.0,6.0,26.0,25.0,0.0
27155,56.0,2.0,80.0,,-4.0,0.0,24.0,85.0,62.0
52028,37.0,0.0,76.0,4.0,26.0,-1.0,39.0,50.0,10.0
44229,55.0,0.0,78.0,0.0,44.0,-4.0,23.0,34.0,12.0
27314,48.0,0.0,87.0,-1.0,46.0,-2.0,39.0,41.0,2.0
32439,37.0,0.0,86.0,0.0,36.0,-1.0,48.0,,2.0
7465,55.0,0.0,78.0,0.0,2.0,-7.0,23.0,75.0,52.0
34635,55.0,0.0,81.0,0.0,54.0,-1.0,25.0,26.0,
53624,37.0,0.0,97.0,0.0,28.0,-14.0,60.0,69.0,8.0
35289,82.0,,86.0,0.0,-40.0,4.0,5.0,128.0,124.0
1820,55.0,0.0,95.0,0.0,38.0,,40.0,,16.0
2410,56.0,0.0,95.0,0.0,44.0,-15.0,40.0,51.0,12.0
51492,46.0,-3.0,88.0,2.0,46.0,0.0,41.0,41.0,0.0
8243,37.0,0.0,81.0,0.0,36.0,-4.0,43.0,44.0,2.0
28464,49.0,2.0,95.0,,46.0,-5.0,47.0,49.0,2.0
39405,59.0,0.0,86.0,1.0,60.0,11.0,28.0,27.0,0.0
16576,43.0,0.0,,0.0,44.0,27.0,37.0,36.0,0.0
37333,55.0,,79.0,0.0,12.0,27.0,23.0,66.0,42.0
47685,44.0,1.0,79.0,0.0,42.0,-11.0,,37.0,2.0
29991,55.0,-3.0,77.0,0.0,34.0,-11.0,22.0,44.0,22.0
24326,45.0,2.0,87.0,6.0,44.0,0.0,,,2.0
13929,37.0,0.0,76.0,0.0,36.0,,39.0,40.0,2.0
55294,55.0,0.0,,0.0,-36.0,-5.0,26.0,118.0,92.0
6391,56.0,0.0,77.0,0.0,-18.0,17.0,,95.0,74.0
34886,38.0,,106.0,0.0,38.0,0.0,68.0,67.0,0.0
42818,,-4.0,,0.0,50.0,-30.0,36.0,,2.0
36547,42.0,0.0,100.0,3.0,42.0,0.0,58.0,59.0,0.0
41785,37.0,0.0,108.0,-4.0,36.0,0.0,70.0,71.0,2.0
37729,42.0,0.0,83.0,1.0,42.0,0.0,42.0,,0.0
2809,37.0,-3.0,82.0,-4.0,34.0,0.0,45.0,48.0,4.0
33266,55.0,0.0,,0.0,54.0,25.0,41.0,42.0,2.0
11445,53.0,3.0,81.0,0.0,52.0,0.0,,30.0,2.0
33686,56.0,0.0,76.0,0.0,-2.0,4.0,20.0,79.0,58.0
52462,37.0,1.0,75.0,0.0,18.0,-1.0,38.0,57.0,18.0
46158,45.0,-49.0,77.0,0.0,-2.0,0.0,32.0,79.0,48.0
46032,37.0,0.0,78.0,0.0,10.0,-8.0,41.0,68.0,26.0
37052,81.0,,84.0,,-18.0,17.0,4.0,103.0,98.0
52697,56.0,0.0,97.0,0.0,52.0,27.0,41.0,46.0,4.0
24746,56.0,3.0,95.0,0.0,42.0,-6.0,39.0,54.0,14.0
228,56.0,4.0,98.0,-4.0,42.0,0.0,42.0,57.0,14.0
54671,38.0,0.0,,3.0,38.0,0.0,39.0,39.0,0.0
35509,49.0,0.0,76.0,-3.0,50.0,7.0,27.0,27.0,0.0
13329,37.0,0.0,76.0,0.0,30.0,-21.0,40.0,45.0,6.0
11703,54.0,6.0,77.0,0.0,28.0,0.0,23.0,48.0,26.0
47116,,0.0,86.0,-1.0,-40.0,0.0,,128.0,124.0
9271,43.0,0.0,84.0,-3.0,42.0,-7.0,41.0,43.0,2.0
51754,55.0,0.0,77.0,0.0,54.0,0.0,22.0,23.0,0.0
43881,37.0,0.0,97.0,-2.0,34.0,5.0,60.0,64.0,4.0
6001,37.0,0.0,103.0,0.0,,12.0,66.0,82.0,16.0
4897,46.0,0.0,76.0,3.0,46.0,4.0,30.0,,0.0
5583,41.0,0.0,76.0,-6.0,38.0,,35.0,37.0,2.0
28229,37.0,0.0,,0.0,24.0,18.0,42.0,55.0,14.0
40635,37.0,0.0,75.0,0.0,24.0,-3.0,38.0,52.0,14.0
28899,38.0,0.0,81.0,0.0,36.0,-27.0,43.0,44.0,2.0
19894,56.0,3.0,99.0,0.0,50.0,0.0,,49.0,8.0
33896,55.0,0.0,77.0,0.0,,4.0,21.0,103.0,82.0
52014,46.0,0.0,77.0,2.0,46.0,0.0,31.0,30.0,0.0
10400,41.0,0.0,83.0,7.0,38.0,-7.0,42.0,44.0,2.0
34335,86.0,4.0,89.0,0.0,2.0,-4.0,3.0,86.0,84.0
43066,47.0,0.0,81.0,2.0,46.0,0.0,34.0,34.0,0.0
34474,46.0,0.0,79.0,0.0,46.0,0.0,34.0,33.0,0.0
23834,,1.0,87.0,1.0,56.0,0.0,30.0,30.0,0.0
3153,37.0,0.0,77.0,0.0,30.0,-24.0,41.0,46.0,6.0
10364,56.0,0.0,97.0,,,-2.0,41.0,48.0,6.0
11523,40.0,2.0,77.0,-2.0,38.0,0.0,38.0,39.0,2.0
40067,48.0,-1.0,77.0,0.0,46.0,-9.0,28.0,30.0,2.0
215,44.0,0.0,83.0,-1.0,44.0,0.0,,39.0,0.0
49664,53.0,2.0,81.0,0.0,52.0,-9.0,28.0,29.0,2.0
39008,43.0,1.0,85.0,7.0,42.0,0.0,42.0,44.0,2.0
23488,37.0,0.0,76.0,0.0,34.0,,39.0,42.0,4.0
26950,56.0,0.0,97.0,4.0,,-16.0,41.0,48.0,6.0
9824,55.0,0.0,96.0,0.0,50.0,19.0,41.0,47.0,
35693,51.0,0.0,86.0,,52.0,0.0,35.0,35.0,0.0
43258,56.0,0.0,87.0,0.0,56.0,4.0,31.0,30.0,0.0
9637,44.0,0.0,87.0,-7.0,42.0,-13.0,43.0,46.0,2.0
45212,46.0,1.0,80.0,0.0,46.0,16.0,34.0,34.0,0.0
35489,56.0,1.0,81.0,0.0,-6.0,2.0,25.0,88.0,64.0
24277,43.0,0.0,86.0,0.0,44.0,13.0,43.0,,
57957,,3.0,77.0,0.0,34.0,0.0,,44.0,
40277,53.0,3.0,80.0,0.0,52.0,0.0,27.0,28.0,2.0
35427,56.0,0.0,79.0,-1.0,6.0,-15.0,24.0,,50.0
24426,51.0,-4.0,83.0,-4.0,52.0,1.0,32.0,32.0,0.0
1449,48.0,0.0,102.0,0.0,46.0,0.0,53.0,55.0,2.0
39620,,,72.0,5.0,0.0,0.0,16.0,72.0,56.0
26312,43.0,0.0,79.0,0.0,44.0,23.0,36.0,35.0,0.0
13799,,0.0,77.0,0.0,6.0,-21.0,40.0,72.0,32.0
27812,56.0,0.0,95.0,0.0,54.0,-26.0,40.0,41.0,2.0
47922,43.0,0.0,89.0,-2.0,42.0,-3.0,46.0,48.0,2.0
52729,56.0,-1.0,97.0,0.0,46.0,4.0,41.0,51.0,10.0
47551,76.0,0.0,80.0,-2.0,-42.0,-8.0,4.0,124.0,
28307,45.0,0.0,86.0,-3.0,44.0,-19.0,41.0,42.0,2.0
54034,55.0,1.0,81.0,-3.0,54.0,0.0,27.0,27.0,0.0
53903,83.0,0.0,86.0,0.0,-6.0,-9.0,3.0,94.0,90.0
49112,56.0,0.0,97.0,0.0,42.0,0.0,41.0,,14.0
29670,49.0,0.0,89.0,0.0,50.0,24.0,40.0,40.0,0.0
10832,49.0,0.0,87.0,0.0,50.0,20.0,38.0,38.0,0.0
48517,56.0,0.0,77.0,-4.0,24.0,-3.0,22.0,54.0,32.0
41821,37.0,0.0,77.0,0.0,26.0,-12.0,40.0,,12.0
34273,79.0,0.0,83.0,0.0,-38.0,2.0,,122.0,118.0
6054,56.0,1.0,81.0,0.0,-6.0,-15.0,25.0,88.0,64.0
52575,37.0,-5.0,,0.0,36.0,-18.0,69.0,71.0,2.0
31875,45.0,0.0,83.0,0.0,44.0,3.0,38.0,39.0,0.0
36993,37.0,0.0,77.0,0.0,28.0,16.0,41.0,,8.0
56369,51.0,,79.0,0.0,50.0,-3.0,28.0,30.0,2.0
23824,37.0,0.0,76.0,0.0,,10.0,40.0,40.0,0.0
56279,55.0,0.0,93.0,0.0,52.0,-7.0,38.0,42.0,4.0
39536,55.0,0.0,95.0,-7.0,42.0,0.0,40.0,54.0,14.0
35967,45.0,-1.0,83.0,0.0,44.0,-2.0,37.0,39.0,2.0
57223,37.0,0.0,95.0,-5.0,18.0,0.0,58.0,77.0,18.0
6449,51.0,0.0,87.0,0.0,52.0,22.0,36.0,35.0,0.0
7951,50.0,3.0,84.0,0.0,50.0,0.0,35.0,,0.0
28132,43.0,3.0,77.0,0.0,42.0,0.0,34.0,35.0,2.0
14626,40.0,-3.0,109.0,0.0,38.0,0.0,70.0,71.0,2.0
15804,48.0,5.0,87.0,0.0,46.0,0.0,39.0,41.0,2.0
37203,56.0,0.0,97.0,0.0,46.0,-2.0,41.0,50.0,10.0
11357,56.0,0.0,98.0,-1.0,42.0,30.0,42.0,57.0,14.0
51044,44.0,-4.0,76.0,0.0,44.0,1.0,32.0,32.0,0.0
13668,52.0,2.0,86.0,0.0,52.0,0.0,35.0,35.0,0.0
31105,40.0,3.0,85.0,0.0,38.0,0.0,45.0,46.0,2.0
14645,37.0,0.0,,8.0,26.0,,42.0,53.0,10.0
48474,37.0,0.0,79.0,0.0,24.0,-18.0,43.0,56.0,14.0
18445,55.0,0.0,77.0,0.0,36.0,-13.0,22.0,41.0,20.0
21029,37.0,0.0,79.0,0.0,8.0,21.0,42.0,71.0,30.0
27388,41.0,-4.0,79.0,0.0,38.0,-20.0,39.0,41.0,2.0
3775,37.0,0.0,92.0,1.0,8.0,,54.0,84.0,30.0
16374,56.0,3.0,76.0,0.0,-18.0,-5.0,20.0,94.0,74.0
5596,51.0,1.0,88.0,0.0,52.0,9.0,37.0,37.0,0.0
34758,85.0,4.0,88.0,0.0,2.0,0.0,3.0,86.0,82.0
27125,56.0,1.0,81.0,0.0,-6.0,15.0,25.0,88.0,64.0
42065,55.0,0.0,79.0,5.0,16.0,0.0,23.0,63.0,40.0
23649,49.0,2.0,90.0,1.0,50.0,27.0,42.0,41.0,0.0
48476,45.0,0.0,79.0,2.0,46.0,22.0,34.0,33.0,0.0
51677,55.0,4.0,74.0,-16.0,-2.0,5.0,19.0,76.0,
54202,37.0,-1.0,76.0,0.0,36.0,1.0,40.0,,0.0
36942,56.0,0.0,82.0,6.0,-12.0,23.0,26.0,95.0,68.0
52023,,5.0,,0.0,42.0,0.0,33.0,34.0,2.0
41505,47.0,0.0,89.0,-5.0,46.0,0.0,42.0,42.0,0.0
41984,,,108.0,0.0,46.0,0.0,62.0,62.0,0.0
23308,49.0,4.0,83.0,1.0,50.0,31.0,,34.0,0.0
29424,37.0,0.0,76.0,1.0,28.0,-3.0,39.0,48.0,8.0
1907,41.0,0.0,87.0,2.0,38.0,-6.0,46.0,48.0,2.0
15581,49.0,-5.0,86.0,0.0,50.0,0.0,38.0,37.0,0.0
25855,56.0,0.0,76.0,0.0,-4.0,3.0,20.0,81.0,62.0
10143,56.0,1.0,,0.0,54.0,-23.0,30.0,32.0,2.0
56516,46.0,0.0,82.0,,46.0,-1.0,36.0,35.0,
41311,44.0,2.0,85.0,0.0,44.0,3.0,41.0,41.0,0.0
54866,76.0,0.0,80.0,0.0,-42.0,-17.0,4.0,124.0,120.0
33751,56.0,0.0,77.0,0.0,20.0,19.0,22.0,57.0,36.0
40801,39.0,2.0,90.0,0.0,38.0,0.0,50.0,51.0,0.0
38248,55.0,0.0,93.0,0.0,2.0,-12.0,38.0,91.0,52.0
56025,50.0,2.0,86.0,-1.0,50.0,0.0,36.0,37.0,0.0
47662,37.0,0.0,95.0,0.0,24.0,25.0,58.0,72.0,14.0
21181,40.0,0.0,83.0,-5.0,38.0,0.0,,44.0,2.0
24327,44.0,4.0,77.0,0.0,44.0,12.0,33.0,33.0,0.0
43254,53.0,0.0,86.0,0.0,54.0,4.0,33.0,32.0,0.0
37425,46.0,-1.0,86.0,6.0,46.0,-4.0,40.0,39.0,
39182,52.0,0.0,88.0,0.0,54.0,31.0,36.0,34.0,0.0
15386,102.0,0.0,103.0,1.0,72.0,19.0,1.0,31.0,30.0
26181,47.0,4.0,88.0,1.0,46.0,0.0,42.0,42.0,0.0
35918,52.0,0.0,86.0,0.0,54.0,30.0,33.0,32.0,
51603,55.0,0.0,81.0,0.0,56.0,25.0,25.0,24.0,
48629,37.0,0.0,81.0,-4.0,26.0,,45.0,55.0,10.0
9265,45.0,0.0,81.0,,44.0,-1.0,37.0,37.0,0.0
38737,45.0,-1.0,79.0,0.0,46.0,17.0,33.0,,0.0
47766,,,108.0,-1.0,36.0,0.0,70.0,71.0,2.0
44659,45.0,4.0,86.0,0.0,44.0,-3.0,40.0,,2.0
30480,48.0,-3.0,,0.0,46.0,0.0,40.0,42.0,
48222,51.0,,80.0,0.0,50.0,-7.0,29.0,31.0,2.0
29086,55.0,-5.0,86.0,,54.0,-8.0,30.0,32.0,2.0
57232,37.0,0.0,79.0,0.0,,4.0,43.0,64.0,22.0
34159,55.0,-4.0,83.0,0.0,54.0,-6.0,27.0,28.0,2.0
33214,37.0,0.0,82.0,0.0,18.0,5.0,45.0,64.0,18.0
40205,55.0,-1.0,93.0,1.0,46.0,0.0,37.0,46.0,8.0
51397,37.0,-1.0,104.0,0.0,24.0,1.0,67.0,80.0,14.0
8802,,0.0,80.0,4.0,-2.0,-16.0,,83.0,58.0
53608,55.0,-5.0,78.0,6.0,44.0,0.0,23.0,34.0,12.0
33139,46.0,4.0,106.0,0.0,46.0,0.0,60.0,60.0,0.0
38914,105.0,3.0,107.0,7.0,70.0,0.0,1.0,37.0,36.0
14559,43.0,-1.0,89.0,-5.0,42.0,,46.0,48.0,2.0
42543,56.0,2.0,88.0,0.0,54.0,-4.0,32.0,,2.0
17796,37.0,0.0,75.0,0.0,26.0,,38.0,49.0,12.0
55280,46.0,-3.0,79.0,1.0,46.0,0.0,34.0,33.0,0.0
28386,45.0,0.0,76.0,-1.0,44.0,-8.0,,32.0,2.0
53828,37.0,0.0,98.0,1.0,28.0,0.0,61.0,70.0,8.0
22504,37.0,0.0,76.0,0.0,34.0,-8.0,39.0,42.0,2.0
34980,55.0,0.0,93.0,1.0,10.0,,37.0,82.0,46.0
5603,44.0,3.0,80.0,0.0,44.0,19.0,36.0,,0.0
8881,37.0,0.0,77.0,-3.0,-12.0,-8.0,40.0,90.0,
22388,85.0,0.0,88.0,0.0,-2.0,-3.0,3.0,91.0,
38185,55.0,0.0,77.0,6.0,-22.0,,22.0,101.0,78.0
4938,37.0,0.0,83.0,0.0,,29.0,46.0,49.0,4.0
46202,106.0,-4.0,108.0,0.0,72.0,,1.0,35.0,34.0
20008,44.0,0.0,88.0,-2.0,44.0,0.0,,44.0,0.0
3158,55.0,0.0,96.0,-1.0,38.0,-2.0,41.0,57.0,
20651,51.0,0.0,86.0,0.0,52.0,31.0,36.0,35.0,0.0
9158,55.0,0.0,,-6.0,50.0,0.0,42.0,48.0,6.0
31973,37.0,0.0,76.0,0.0,34.0,-14.0,38.0,42.0,4.0
463,37.0,0.0,96.0,0.0,18.0,-29.0,59.0,78.0,18.0
615,54.0,1.0,82.0,0.0,54.0,0.0,28.0,28.0,0.0
6380,82.0,736.0,106.0,-3.0,34.0,-16.0,24.0,72.0,48.0
20213,37.0,0.0,75.0,-4.0,24.0,0.0,38.0,52.0,14.0
49530,56.0,0.0,96.0,,54.0,1.0,40.0,42.0,2.0
44066,80.0,0.0,84.0,0.0,-36.0,0.0,4.0,120.0,116.0
45763,44.0,0.0,86.0,-1.0,44.0,-2.0,,42.0,0.0
8181,37.0,0.0,83.0,0.0,30.0,-30.0,46.0,52.0,6.0
17719,49.0,1.0,,1.0,46.0,-12.0,30.0,32.0,2.0
46279,56.0,-2.0,89.0,0.0,56.0,0.0,33.0,32.0,0.0
16574,55.0,0.0,84.0,0.0,54.0,0.0,30.0,30.0,0.0
2716,57.0,-2.0,83.0,1.0,56.0,0.0,25.0,26.0,0.0
36736,43.0,-5.0,82.0,0.0,42.0,-30.0,39.0,41.0,2.0
26220,45.0,-2.0,,0.0,44.0,-13.0,31.0,33.0,2.0
15240,41.0,0.0,83.0,2.0,42.0,0.0,41.0,41.0,0.0
30022,46.0,0.0,,-3.0,46.0,0.0,43.0,43.0,0.0
5178,56.0,1.0,98.0,0.0,50.0,-29.0,42.0,49.0,6.0
57299,45.0,0.0,77.0,-1.0,44.0,-2.0,31.0,33.0,2.0
42771,37.0,0.0,76.0,2.0,,0.0,39.0,55.0,16.0
22706,37.0,0.0,76.0,-1.0,26.0,1.0,39.0,50.0,12.0
46407,37.0,-1.0,105.0,1.0,18.0,0.0,68.0,,18.0
51353,50.0,-5.0,106.0,0.0,50.0,0.0,57.0,57.0,0.0
40157,55.0,0.0,92.0,0.0,-2.0,14.0,36.0,94.0,58.0
25783,37.0,0.0,74.0,0.0,,,38.0,48.0,10.0
21045,37.0,0.0,96.0,-1.0,20.0,0.0,59.0,75.0,16.0
47124,51.0,-1.0,77.0,0.0,50.0,-5.0,27.0,28.0,2.0
49839,48.0,3.0,83.0,,46.0,0.0,35.0,37.0,2.0
40537,38.0,0.0,92.0,0.0,20.0,0.0,54.0,71.0,18.0
23474,41.0,5.0,76.0,0.0,42.0,25.0,35.0,35.0,0.0
6221,56.0,0.0,95.0,0.0,50.0,-16.0,40.0,46.0,6.0
13386,,0.0,81.0,0.0,50.0,8.0,32.0,,0.0
55579,37.0,0.0,78.0,0.0,-2.0,5.0,42.0,81.0,40.0
28129,37.0,0.0,,-1.0,20.0,0.0,43.0,59.0,16.0
7037,56.0,0.0,98.0,0.0,44.0,26.0,42.0,,12.0
15474,42.0,0.0,87.0,3.0,42.0,0.0,45.0,46.0,0.0
44414,,0.0,106.0,0.0,30.0,17.0,68.0,75.0,6.0
48665,46.0,,,0.0,46.0,17.0,37.0,36.0,0.0
10570,56.0,0.0,80.0,0.0,20.0,-3.0,24.0,59.0,36.0
15511,37.0,0.0,75.0,0.0,20.0,12.0,38.0,54.0,16.0
50463,45.0,-2.0,86.0,0.0,44.0,-18.0,40.0,42.0,2.0
52904,45.0,0.0,87.0,5.0,46.0,15.0,42.0,41.0,0.0
6358,50.0,,79.0,5.0,50.0,0.0,28.0,30.0,2.0
53914,81.0,0.0,85.0,-7.0,-22.0,0.0,4.0,108.0,104.0
6691,48.0,1.0,77.0,0.0,46.0,0.0,28.0,30.0,2.0
10785,,0.0,97.0,0.0,50.0,9.0,40.0,48.0,8.0
15881,37.0,0.0,94.0,0.0,10.0,-5.0,57.0,84.0,26.0
31898,55.0,-3.0,86.0,0.0,54.0,-11.0,31.0,32.0,2.0
33798,37.0,-2.0,77.0,0.0,-2.0,-7.0,40.0,79.0,40.0
41932,,1.0,82.0,0.0,46.0,6.0,36.0,35.0,0.0
28350,37.0,0.0,81.0,0.0,24.0,0.0,44.0,58.0,
42256,39.0,4.0,,-3.0,38.0,0.0,46.0,46.0,0.0
1577,43.0,0.0,86.0,-2.0,42.0,-2.0,43.0,45.0,2.0
23122,45.0,3.0,93.0,-6.0,,0.0,48.0,49.0,0.0
15859,58.0,5.0,97.0,0.0,,0.0,39.0,40.0,0.0
32335,43.0,0.0,76.0,-4.0,42.0,0.0,33.0,35.0,2.0
9947,45.0,0.0,82.0,5.0,44.0,0.0,37.0,38.0,2.0
36561,56.0,0.0,79.0,4.0,-4.0,0.0,23.0,84.0,62.0
20039,51.0,-2.0,77.0,0.0,52.0,0.0,26.0,25.0,0.0
20711,47.0,-1.0,88.0,-4.0,46.0,0.0,40.0,41.0,0.0
21493,55.0,0.0,77.0,0.0,-28.0,-30.0,22.0,106.0,84.0
17551,44.0,0.0,76.0,4.0,44.0,14.0,32.0,32.0,0.0
32728,44.0,1.0,88.0,0.0,42.0,-19.0,44.0,46.0,2.0
54532,53.0,-5.0,79.0,0.0,52.0,-20.0,26.0,27.0,2.0
55074,37.0,2.0,100.0,0.0,36.0,0.0,64.0,64.0,0.0
48669,43.0,0.0,90.0,8.0,42.0,0.0,46.0,48.0,2.0
35685,44.0,0.0,76.0,0.0,44.0,11.0,32.0,32.0,0.0
5586,43.0,0.0,76.0,0.0,44.0,30.0,33.0,32.0,0.0
14605,43.0,2.0,83.0,0.0,42.0,0.0,39.0,41.0,2.0
39094,37.0,0.0,103.0,0.0,18.0,-18.0,66.0,85.0,18.0
48674,56.0,4.0,77.0,0.0,,1.0,22.0,77.0,56.0
31670,55.0,-3.0,97.0,0.0,52.0,0.0,41.0,45.0,4.0
1515,37.0,0.0,,,2.0,20.0,40.0,74.0,34.0
35139,59.0,0.0,87.0,0.0,60.0,,28.0,28.0,0.0
3432,41.0,-5.0,80.0,0.0,42.0,11.0,39.0,39.0,0.0
20863,56.0,0.0,77.0,0.0,-20.0,-5.0,21.0,97.0,76.0
4239,79.0,,83.0,0.0,-28.0,7.0,,112.0,
19773,37.0,2.0,82.0,-4.0,,0.0,45.0,48.0,4.0
34158,52.0,-1.0,102.0,0.0,52.0,0.0,50.0,51.0,0.0
893,37.0,0.0,83.0,-2.0,30.0,0.0,46.0,52.0,6.0
39867,46.0,0.0,87.0,,46.0,6.0,41.0,41.0,0.0
26426,40.0,4.0,77.0,0.0,38.0,,38.0,39.0,2.0
46805,56.0,0.0,92.0,0.0,52.0,14.0,36.0,40.0,4.0
5074,37.0,0.0,75.0,0.0,18.0,-18.0,38.0,57.0,18.0
24900,56.0,4.0,97.0,-5.0,46.0,-30.0,41.0,51.0,10.0
25791,55.0,0.0,95.0,-1.0,42.0,-6.0,40.0,54.0,14.0
15187,45.0,-1.0,86.0,-5.0,44.0,-11.0,,42.0,2.0
2933,37.0,0.0,78.0,0.0,10.0,8.0,41.0,68.0,26.0
32330,81.0,2.0,86.0,1.0,-40.0,8.0,4.0,,122.0
29265,53.0,0.0,85.0,0.0,54.0,4.0,32.0,31.0,0.0
44130,37.0,-1.0,81.0,-4.0,36.0,-13.0,43.0,44.0,2.0
43705,37.0,-5.0,106.0,0.0,34.0,0.0,69.0,72.0,2.0
11970,41.0,-2.0,80.0,0.0,42.0,19.0,39.0,39.0,0.0
56824,45.0,-3.0,78.0,0.0,44.0,0.0,34.0,34.0,0.0
28022,56.0,0.0,97.0,7.0,52.0,0.0,41.0,45.0,4.0
1129,39.0,0.0,85.0,4.0,,0.0,46.0,46.0,0.0
731,38.0,2.0,79.0,0.0,38.0,8.0,41.0,40.0,0.0
11110,45.0,-5.0,86.0,0.0,46.0,6.0,40.0,39.0,0.0
30329,56.0,0.0,81.0,-1.0,54.0,-26.0,25.0,27.0,2.0
3084,51.0,0.0,78.0,-5.0,52.0,1.0,27.0,26.0,0.0
7297,56.0,0.0,77.0,0.0,-10.0,-16.0,21.0,87.0,66.0
37356,55.0,0.0,93.0,0.0,46.0,0.0,37.0,46.0,8.0
45264,37.0,0.0,92.0,1.0,6.0,-19.0,54.0,86.0,32.0
31926,42.0,0.0,85.0,-2.0,42.0,0.0,43.0,44.0,2.0
2795,84.0,0.0,88.0,0.0,-2.0,-30.0,4.0,90.0,86.0
25363,,,78.0,-1.0,12.0,0.0,41.0,65.0,24.0
7601,53.0,-5.0,108.0,0.0,54.0,0.0,55.0,54.0,0.0
798,55.0,-1.0,79.0,-3.0,26.0,-6.0,23.0,53.0,30.0
22616,53.0,0.0,88.0,0.0,52.0,-27.0,35.0,37.0,2.0
17118,37.0,0.0,,0.0,38.0,3.0,43.0,41.0,0.0
50701,56.0,0.0,95.0,0.0,46.0,16.0,40.0,49.0,10.0
178,37.0,0.0,97.0,0.0,24.0,-30.0,60.0,73.0,14.0
44237,41.0,-1.0,79.0,0.0,42.0,11.0,39.0,38.0,0.0
17558,46.0,4.0,82.0,0.0,46.0,15.0,36.0,35.0,0.0
13798,37.0,-2.0,,0.0,38.0,18.0,43.0,41.0,0.0
42598,41.0,0.0,86.0,1.0,,8.0,46.0,45.0,0.0
17174,37.0,0.0,79.0,0.0,24.0,-4.0,42.0,55.0,14.0
54951,49.0,0.0,79.0,0.0,50.0,,31.0,30.0,0.0
32567,,,80.0,0.0,36.0,27.0,43.0,44.0,2.0
27777,56.0,-1.0,95.0,0.0,44.0,17.0,40.0,51.0,12.0
32966,56.0,0.0,86.0,0.0,54.0,-25.0,31.0,32.0,2.0
47411,43.0,0.0,85.0,-1.0,42.0,-8.0,,44.0,2.0
24648,78.0,0.0,83.0,4.0,-46.0,0.0,4.0,129.0,124.0
29769,45.0,1.0,77.0,8.0,44.0,0.0,32.0,34.0,2.0
16932,44.0,0.0,106.0,0.0,44.0,21.0,62.0,62.0,0.0
12940,,0.0,78.0,0.0,6.0,-15.0,23.0,,50.0
49036,49.0,0.0,90.0,0.0,50.0,20.0,42.0,41.0,0.0
23849,41.0,0.0,79.0,2.0,38.0,0.0,38.0,40.0,2.0
11772,44.0,0.0,,3.0,44.0,0.0,31.0,32.0,0.0
43492,,-1.0,107.0,0.0,70.0,0.0,1.0,37.0,36.0
38498,56.0,0.0,97.0,0.0,54.0,1.0,41.0,43.0,2.0
50292,37.0,0.0,83.0,0.0,-2.0,22.0,46.0,85.0,40.0
46045,57.0,-3.0,92.0,0.0,56.0,0.0,35.0,,0.0
4616,56.0,0.0,96.0,-4.0,50.0,-2.0,40.0,47.0,6.0
15103,41.0,1.0,83.0,0.0,42.0,,41.0,41.0,0.0
7533,56.0,5.0,77.0,0.0,16.0,,22.0,62.0,40.0
50437,37.0,0.0,77.0,0.0,30.0,-22.0,41.0,46.0,6.0
48623,37.0,0.0,79.0,-2.0,10.0,-10.0,43.0,69.0,26.0
66,42.0,0.0,83.0,2.0,42.0,0.0,41.0,42.0,2.0
57128,37.0,0.0,103.0,0.0,18.0,-12.0,66.0,85.0,18.0
37480,42.0,0.0,82.0,4.0,42.0,0.0,39.0,,2.0
21598,37.0,0.0,,0.0,36.0,22.0,45.0,46.0,2.0
44220,38.0,,79.0,8.0,38.0,0.0,41.0,,0.0
15689,45.0,0.0,85.0,-1.0,44.0,-8.0,40.0,41.0,2.0
54918,43.0,0.0,79.0,,42.0,-12.0,35.0,,2.0
5033,82.0,2.0,86.0,0.0,-6.0,0.0,3.0,94.0,90.0
39683,42.0,0.0,79.0,1.0,42.0,0.0,37.0,38.0,0.0
35340,39.0,-5.0,81.0,,38.0,0.0,42.0,42.0,0.0
55843,37.0,0.0,76.0,0.0,24.0,-11.0,39.0,53.0,14.0
20225,55.0,0.0,77.0,0.0,38.0,12.0,22.0,39.0,16.0
17006,,,93.0,1.0,54.0,0.0,38.0,,0.0
9873,39.0,5.0,90.0,0.0,38.0,0.0,50.0,51.0,0.0
38990,44.0,0.0,83.0,0.0,44.0,21.0,40.0,39.0,0.0
787,58.0,0.0,80.0,,56.0,0.0,22.0,23.0,0.0
3332,56.0,3.0,,0.0,50.0,0.0,42.0,49.0,6.0
30966,49.0,4.0,106.0,0.0,50.0,7.0,56.0,57.0,0.0
