,V1,V2,V3,V4
2338,1.033,0.599,1.663,1.201
735,2.353,0.497,1.804,
304,0.961,0.776,2.393,1.628
1440,0.796,0.781,1.449,0.791
1496,0.712,0.562,0.976,1.293
2652,1.416,0.729,1.597,2.1
2875,0.8,0.556,1.34,0.528
916,0.818,,1.721,1.195
4562,,0.65,1.759,1.089
710,2.828,0.607,1.626,0.871
5042,1.314,0.544,1.746,0.614
4817,0.632,0.765,2.928,1.579
2772,,0.806,1.659,0.882
1624,,0.551,,0.994
4334,2.957,0.654,1.607,0.748
821,0.985,0.792,,2.452
3921,1.054,0.758,2.925,1.005
1354,1.689,0.416,1.958,1.065
4910,2.551,0.471,2.752,1.041
850,0.777,0.805,1.306,3.646
3350,0.771,1.151,1.541,0.735
1000,1.732,0.567,1.261,0.518
4017,1.309,,2.132,0.626
3525,2.342,0.535,1.783,1.355
18,0.765,0.482,1.697,0.473
1637,2.452,0.474,1.816,1.233
1667,2.137,0.42,1.973,1.545
493,1.275,,1.764,0.948
3173,0.915,0.743,2.661,0.876
4385,2.288,0.439,1.867,1.419
1347,1.731,,1.81,1.028
3018,1.397,0.494,1.797,1.039
4264,0.845,0.441,2.647,1.413
3230,0.587,0.523,1.871,
3869,1.101,0.589,1.893,0.947
4200,1.514,0.745,1.581,0.74
2828,,0.58,,1.307
687,3.267,0.751,1.46,0.435
1112,,0.454,,0.999
3232,0.576,0.515,1.852,1.018
1608,2.801,0.621,1.654,
4467,1.157,1.762,1.383,2.383
4047,0.787,0.485,1.872,
1009,,0.794,1.328,0.638
3291,1.39,0.541,1.746,1.391
2408,1.225,0.642,1.286,1.019
1092,0.851,0.461,1.922,1.339
1327,0.741,0.426,1.787,1.504
5080,0.798,0.726,1.538,0.8
1677,2.028,1.399,1.998,1.654
1999,0.808,0.497,1.965,1.432
1310,,0.452,,1.025
3801,0.986,0.516,1.779,1.218
3631,0.815,0.889,,2.656
3872,1.04,0.61,1.93,1.619
1987,0.818,0.507,3.176,
4221,1.151,0.609,1.188,1.099
344,0.785,,2.149,0.895
4566,0.915,0.612,1.71,
986,0.878,0.695,1.255,
587,1.065,0.549,,1.145
2791,1.063,0.727,1.126,1.045
4702,1.171,0.576,1.597,1.017
3697,0.783,0.596,1.629,1.326
4420,1.981,1.455,1.95,1.719
3485,3.09,0.769,1.483,0.616
3960,0.776,0.39,2.766,0.917
3605,0.997,2.407,1.283,2.48
3289,1.426,,1.76,0.618
1142,,0.574,1.754,0.655
2358,0.782,0.725,1.527,
3264,1.69,0.481,1.855,1.096
1198,,0.91,2.783,1.631
85,1.019,0.593,2.612,1.013
1518,0.85,0.516,3.182,1.354
516,0.846,0.665,1.549,0.729
1381,1.411,,1.836,0.8
3785,1.235,0.583,1.586,0.94
2716,0.818,1.027,0.883,2.461
3667,1.076,0.747,1.794,0.937
1014,0.837,0.751,,0.721
128,0.794,,1.347,0.639
1364,1.584,0.423,1.706,1.168
4204,,0.726,1.547,0.788
4408,2.129,0.487,1.919,1.572
3732,0.765,0.681,1.369,0.545
891,1.332,0.741,1.397,0.78
2793,,0.712,1.064,1.083
4590,0.828,0.564,1.585,1.295
1359,1.636,,1.939,1.116
307,0.924,0.775,2.398,1.669
1661,2.192,0.432,1.952,
2431,0.864,0.502,2.586,1.377
5255,,0.614,1.667,0.942
1317,0.495,0.439,1.82,1.042
3499,,0.683,1.589,0.878
4691,1.348,0.627,,0.836
3249,1.754,0.489,2.063,1.045
2474,0.853,0.445,1.412,0.462
2542,2.674,0.621,1.652,1.014
5259,2.704,0.588,1.695,1.008
1246,1.689,0.789,,1.034
5378,0.827,0.862,1.265,2.601
1208,0.837,0.92,2.254,1.622
3377,1.43,0.702,,0.82
216,,0.457,1.928,
4679,0.847,0.651,1.469,0.794
3641,,0.954,1.26,3.715
1239,,0.802,2.608,0.992
2289,1.616,0.449,1.897,1.142
2740,,0.944,1.168,5.0
275,1.063,0.733,2.192,1.751
489,1.336,0.506,1.783,0.895
1035,1.417,0.702,,0.798
1229,0.817,0.482,2.173,1.45
5000,1.731,0.482,1.991,1.072
1008,0.948,0.802,1.319,0.625
5331,1.306,,1.352,3.259
3712,0.782,0.572,1.67,1.21
3782,1.287,0.598,1.576,
2532,2.842,,1.586,0.848
4549,1.28,0.719,1.888,0.845
1058,1.01,0.543,3.048,1.19
2166,1.818,0.341,2.18,0.827
4476,1.046,0.82,1.327,2.405
4012,1.412,0.628,2.041,1.084
281,0.642,0.778,2.331,1.846
1043,1.284,,1.523,0.928
1316,0.5,0.442,1.819,1.038
5428,1.213,0.783,1.392,0.708
968,0.892,0.53,2.879,0.573
3716,,0.557,2.391,
1939,1.458,0.665,1.45,0.717
3765,0.892,0.676,1.443,0.676
1274,2.002,0.616,2.255,1.327
619,0.823,0.446,2.641,1.38
5101,,0.785,2.908,0.697
1742,0.863,0.781,1.326,2.566
1390,1.324,,1.807,
4450,1.41,0.83,1.595,
1847,0.833,0.554,1.698,1.275
1579,0.774,0.988,1.477,0.545
1655,,0.388,1.927,1.453
3568,1.663,1.378,1.703,2.029
2352,0.789,0.722,1.527,0.796
2212,1.182,0.572,2.837,0.722
3275,1.417,0.488,,1.184
2020,1.445,0.488,1.776,1.117
5422,0.814,0.805,1.493,0.719
1956,1.352,0.623,1.506,0.817
3178,1.717,0.376,2.151,0.902
3192,,0.658,,
1307,1.541,0.452,,1.025
2003,1.069,0.489,3.195,1.172
4865,0.792,0.886,2.363,0.926
575,1.297,0.63,,0.914
2360,,0.724,1.527,0.749
4791,1.062,0.607,1.933,0.99
4924,1.329,0.61,,0.616
1706,1.408,0.751,1.655,2.051
1799,1.384,0.738,1.448,0.73
3347,0.767,0.739,1.53,0.754
4751,1.12,0.465,1.776,0.57
1280,1.88,0.571,1.937,1.402
4447,1.393,0.795,1.633,2.082
861,0.767,0.878,1.327,
4525,0.768,,1.329,0.808
1801,1.384,0.737,1.445,0.73
1628,2.626,0.546,1.736,1.061
1993,0.806,,1.749,
2639,1.417,,1.621,2.078
269,,0.702,2.294,1.571
629,,0.428,2.64,1.394
3081,,,2.885,1.358
3466,3.284,0.481,1.396,0.419
2334,1.106,0.568,,1.665
4771,,0.497,1.608,1.273
2966,0.969,0.501,3.176,
300,0.976,0.778,2.392,1.709
459,1.635,0.478,1.718,1.144
1447,0.796,0.826,1.466,0.779
1472,1.362,0.732,1.417,0.85
2046,1.122,,3.106,1.571
4610,0.822,0.545,2.443,5.0
4292,0.828,0.484,1.458,0.393
3976,0.908,0.746,2.662,
2113,0.99,0.736,2.918,5.0
27,,0.475,1.707,0.47
2040,1.233,0.552,1.79,1.003
4937,2.105,0.555,2.816,0.783
3216,2.108,0.572,2.8,0.783
837,0.786,0.818,1.296,3.66
129,0.814,0.78,1.345,0.636
4004,2.569,0.663,2.126,0.952
2008,1.471,0.486,1.982,1.17
5352,1.019,0.933,1.089,2.408
503,1.094,0.578,1.698,0.65
3813,0.827,0.49,1.769,1.398
4692,,0.622,1.509,0.853
380,,0.7,2.707,0.937
1851,0.805,0.537,1.69,1.299
1525,0.858,0.507,2.559,1.355
2365,0.776,0.717,1.538,0.736
5338,1.216,2.401,1.289,2.26
3052,0.837,0.69,2.998,1.658
2884,,0.774,1.34,0.506
2340,0.995,0.618,1.645,1.239
374,0.898,0.734,2.153,0.899
3874,1.002,0.625,1.986,1.56
2381,1.557,0.747,1.599,0.686
5124,1.392,0.7,2.893,0.864
939,0.895,0.578,1.717,1.215
5388,0.824,0.838,1.282,2.503
5113,1.552,0.755,1.62,0.706
4545,1.323,0.732,1.913,0.799
2799,0.868,0.666,0.972,
2147,0.775,0.363,2.163,0.847
3591,,0.832,1.397,2.385
4519,0.769,0.82,1.309,3.678
4955,0.802,0.493,,1.063
5347,1.091,0.938,1.246,2.347
2068,0.761,0.65,3.018,
3623,0.818,0.89,1.224,3.675
529,0.769,0.683,1.531,0.748
3308,,0.646,1.626,0.716
3781,1.302,,1.531,0.87
5280,2.292,0.5,1.807,1.413
636,,0.414,2.655,0.769
1269,2.296,0.648,1.609,1.254
185,0.865,0.491,3.208,1.345
1394,1.286,0.489,1.794,0.553
4811,1.039,0.721,2.965,0.812
4100,1.347,,1.84,1.233
1797,,0.748,1.411,0.73
2979,0.855,,1.796,1.129
1441,0.795,0.782,1.453,0.789
4073,1.723,0.469,2.619,
5315,1.47,1.444,,2.168
1535,0.855,0.483,1.43,
4091,,0.461,,1.145
3188,,0.674,2.733,
1273,2.221,0.621,1.668,0.721
2467,0.863,0.451,1.47,0.5
3688,0.786,0.619,,1.329
607,0.825,0.453,2.649,1.384
5299,1.779,1.481,,1.923
1712,1.277,2.127,1.561,2.192
3954,0.768,0.788,2.755,1.316
2199,2.427,0.63,,1.058
955,0.896,0.553,1.749,1.088
2579,1.814,0.488,1.889,1.632
4278,0.843,0.411,1.489,0.451
4371,2.55,0.523,1.772,1.158
4833,1.029,0.777,2.909,1.562
4020,1.264,0.592,2.118,0.672
2852,0.805,0.567,1.365,5.0
403,1.294,,2.058,0.642
2071,0.763,0.648,3.02,1.624
5187,,0.468,,1.427
1977,0.988,0.533,1.705,1.22
158,1.255,0.645,1.526,0.956
1748,,0.795,1.318,2.656
2909,1.331,0.64,1.477,
4151,0.794,0.759,1.494,0.82
902,1.176,0.702,1.83,
352,0.798,0.743,2.149,0.886
1230,0.858,0.483,2.037,1.045
5094,,1.152,1.564,0.719
2140,0.774,0.738,2.144,4.3
444,1.495,0.487,,1.094
5397,0.822,0.82,,3.629
754,,,1.915,1.607
1737,0.959,0.769,1.353,2.479
2971,0.951,0.499,,1.235
3714,0.78,0.568,2.377,5.0
5429,1.352,0.782,1.391,0.706
2920,1.311,0.633,,0.88
311,0.864,0.779,2.428,1.758
3423,0.89,0.494,3.188,1.356
548,,,1.572,0.66
661,0.802,,1.422,
5194,0.839,0.449,2.644,0.495
1989,,0.502,3.179,1.435
3665,1.215,0.754,,0.905
306,0.937,0.773,2.392,2.247
2335,,0.576,1.69,1.683
694,3.172,0.716,1.501,
2356,0.783,,1.527,0.754
3702,0.785,0.589,0.861,1.331
1927,1.476,0.672,1.442,0.7
684,3.29,0.479,1.445,0.409
3427,0.888,0.489,,1.36
749,2.13,,1.894,1.558
3638,0.805,0.901,,2.683
3218,2.07,0.566,2.772,0.813
3859,1.298,0.522,1.706,0.923
1266,2.352,0.616,1.611,1.206
3903,0.639,0.75,2.938,2.068
4149,0.825,0.746,1.513,0.804
4831,1.032,0.776,,1.559
3971,0.915,0.367,2.663,0.889
2134,0.776,0.75,,0.886
3083,0.548,0.776,2.88,1.726
3061,,0.698,2.975,1.156
3025,1.339,0.516,1.653,1.323
970,0.886,0.526,2.885,0.571
13,0.757,0.48,2.304,0.476
873,,0.758,1.905,0.767
3771,0.88,0.655,1.469,0.747
808,1.182,2.282,1.398,3.278
3198,1.449,0.527,2.058,1.028
514,0.882,0.652,1.564,1.353
4883,0.81,0.78,2.649,0.873
409,2.171,0.585,2.145,0.737
4053,0.766,0.478,1.78,1.082
5434,0.897,0.768,1.35,0.754
5454,0.967,0.635,1.034,1.118
5177,0.84,0.488,,
207,1.491,0.46,1.768,1.08
3833,1.095,0.479,1.775,1.14
458,,0.479,1.981,1.135
2054,0.971,0.632,3.063,
2430,,0.502,3.194,1.379
250,1.202,0.574,1.622,1.025
110,0.797,0.666,2.741,0.719
4393,2.195,0.445,1.898,1.512
1107,1.193,0.449,1.776,1.006
4706,1.1,,1.604,
1883,,0.513,2.913,0.539
1713,1.263,2.14,1.547,2.196
1287,0.969,0.528,,1.518
4044,1.79,0.494,1.87,1.03
3441,0.889,0.459,1.415,0.783
552,0.768,0.753,3.25,0.648
1439,0.797,0.781,1.448,0.859
2270,1.709,0.456,1.779,1.064
4211,1.342,0.679,1.381,0.91
3144,,0.75,2.646,0.856
2821,0.804,0.594,1.646,1.303
5214,0.85,0.463,1.441,0.417
1925,,0.676,1.434,0.693
634,0.828,0.417,1.479,1.39
5239,3.022,0.692,1.566,
316,0.793,,,1.272
4599,0.825,0.554,1.701,1.163
5127,1.336,0.684,1.431,
1328,0.741,0.425,1.79,
427,,0.518,1.855,1.008
4013,2.395,0.624,2.035,1.103
105,0.799,0.664,2.478,1.239
3041,1.043,0.623,1.908,1.01
142,1.555,,1.367,0.662
2169,,0.34,2.179,0.83
3955,0.768,0.787,2.759,0.945
89,0.948,0.619,2.561,1.088
2918,1.313,0.637,1.489,0.875
3237,0.801,0.498,1.851,1.063
2241,0.818,0.478,1.874,1.021
3174,,0.74,2.664,0.879
4058,0.767,,1.78,1.112
3737,0.776,0.572,1.374,0.529
2163,1.818,0.341,2.18,0.827
2636,1.423,0.72,1.628,2.074
1949,1.425,,1.461,0.749
1768,0.777,0.776,1.328,3.618
3901,0.672,0.734,,1.797
2272,1.494,,1.782,1.064
1,1.687,,2.332,0.429
4720,0.868,0.493,,1.352
5406,0.817,,1.321,3.62
1951,1.408,0.641,1.473,0.762
935,0.898,0.58,1.717,1.213
4683,1.394,0.645,1.48,0.794
2720,0.823,,0.892,2.589
3731,0.779,0.586,1.368,0.553
4121,1.326,0.523,,0.584
1109,1.191,0.45,1.78,
4904,2.642,0.444,2.719,
591,0.992,0.524,3.173,
3534,2.176,0.479,1.856,
1695,1.68,1.417,,1.907
4098,1.363,0.467,1.846,1.215
2936,0.832,,1.515,0.946
4585,0.827,0.57,0.895,1.289
5326,1.357,1.746,1.407,2.384
1576,0.758,,1.483,0.546
1111,1.57,0.453,1.936,0.992
4563,0.886,0.638,,1.131
213,1.198,0.455,1.835,1.035
778,1.764,1.397,1.979,1.924
1415,0.998,,1.592,0.677
3496,2.88,0.704,1.568,0.824
101,0.795,0.666,2.469,
2043,1.179,0.57,2.04,1.512
2848,0.807,0.562,2.397,1.183
4952,0.848,,1.869,
4892,0.942,0.76,2.166,0.867
4317,3.271,0.783,1.473,0.436
1567,0.784,0.54,1.443,0.521
165,1.121,0.594,3.117,
5143,1.024,0.573,,1.229
3566,1.693,1.384,1.762,2.001
4842,0.983,0.779,,1.155
5374,0.821,3.672,1.26,2.575
1343,1.731,0.418,5.0,1.028
2013,1.47,0.485,,1.17
273,1.434,0.719,2.956,
3860,,0.528,1.722,0.932
71,1.271,0.511,2.8,0.756
4366,2.647,0.558,1.735,
3788,1.187,0.57,,0.99
1087,0.851,,3.213,1.338
394,1.459,,1.945,1.026
583,1.141,0.574,3.125,1.069
1367,,0.428,1.886,
5439,1.233,0.738,1.272,0.864
5062,0.937,0.678,1.594,
2548,2.567,0.583,1.694,1.121
1013,0.851,0.759,1.358,0.704
5342,1.163,,1.274,2.277
4076,1.723,0.469,2.598,1.067
3003,1.105,,1.76,1.112
5222,,0.806,1.448,0.417
1701,1.395,0.622,1.715,1.985
520,0.776,0.689,1.522,0.753
1763,,0.785,1.324,3.624
1875,0.805,0.516,2.433,5.0
1259,,0.714,1.918,1.116
3344,,0.737,1.52,0.759
4945,1.949,0.526,1.898,0.907
2253,0.752,0.46,1.762,1.072
2781,,0.787,1.275,0.89
3224,1.957,0.546,1.875,
526,0.769,,1.529,
4327,0.881,0.707,1.551,0.617
5186,0.844,,1.501,0.569
2946,1.096,0.559,1.619,1.092
377,2.094,,,0.914
3899,0.714,0.715,2.967,
1559,,0.569,1.391,0.461
692,3.205,0.729,1.487,0.496
1963,1.234,,1.573,0.944
5162,0.571,,2.599,1.387
348,0.788,0.37,2.18,0.885
2434,0.865,0.501,2.586,1.377
2246,0.755,0.465,1.767,1.745
4546,1.315,0.731,1.909,0.807
3633,0.815,0.898,1.242,3.681
1709,1.317,0.9,1.603,2.097
1050,1.149,0.595,1.596,1.054
590,,0.53,3.18,1.199
519,0.792,0.684,1.528,0.749
3380,1.375,,2.21,0.874
3676,1.012,0.692,1.705,1.109
4906,2.609,0.693,2.156,0.996
4502,0.783,0.84,1.284,2.668
2477,0.851,,1.417,0.449
1083,0.857,0.473,1.793,1.337
1607,0.747,0.586,1.646,
3610,0.915,0.913,1.251,2.505
5211,0.828,0.85,1.453,0.426
4922,0.69,0.619,2.809,1.129
1294,0.843,0.481,1.859,0.995
1809,1.34,0.723,1.408,0.774
3595,1.163,,1.35,3.34
791,1.37,0.723,1.598,2.105
792,,0.724,1.585,2.117
4950,0.884,,2.655,
1855,0.808,0.535,1.694,1.296
5189,0.838,0.461,,0.822
1980,0.935,0.525,,1.277
3233,0.575,0.511,1.849,1.031
3598,,2.358,1.329,2.349
933,0.9,0.581,1.714,
3963,0.769,0.386,2.657,0.909
5010,1.658,0.476,,1.132
3328,0.78,0.744,1.506,0.844
1530,0.854,0.494,2.566,1.359
1410,1.084,0.592,1.687,0.627
3524,2.36,0.523,1.774,1.337
4681,1.395,0.649,1.474,0.794
5069,0.811,0.727,1.53,0.791
4797,0.947,0.655,2.085,1.631
83,1.056,0.58,2.643,0.975
868,0.767,0.788,1.349,0.789
2350,0.812,0.708,1.544,0.76
20,0.814,0.48,1.7,0.473
5047,1.226,0.574,1.712,0.647
4401,2.177,0.436,1.908,1.527
4216,,0.645,1.283,1.004
2795,0.986,0.697,1.05,1.121
3453,0.876,0.445,1.419,0.48
4987,1.735,0.483,1.806,
3778,1.348,0.618,1.527,0.824
1562,5.0,0.573,,0.472
4586,0.828,0.569,,1.289
3093,,0.766,2.892,5.0
3155,0.937,,2.655,0.855
973,0.881,0.527,2.887,0.568
1710,,0.923,1.59,2.114
3201,1.396,0.582,1.993,1.132
4410,,0.495,1.924,1.593
5253,2.796,0.618,1.656,0.915
1098,1.199,0.449,1.836,1.03
4541,1.335,0.733,1.92,0.787
2844,0.808,0.563,1.688,1.177
886,,0.735,1.404,0.773
5379,0.828,0.856,1.266,
4238,,0.484,0.882,1.406
3560,1.801,,1.879,1.894
4995,1.731,0.483,1.991,1.074
4173,0.775,0.757,,5.0
4803,1.116,0.683,2.233,1.633
515,0.864,0.658,1.556,0.723
5037,1.398,0.517,1.778,0.861
737,2.316,0.481,1.82,1.375
1453,0.794,0.808,1.47,0.765
3553,1.927,0.53,1.965,1.771
3609,0.932,0.908,,2.501
2006,1.472,0.486,,1.168
5128,1.318,0.677,2.254,0.939
2506,3.284,0.834,1.411,
2994,1.109,0.473,1.759,1.114
3999,2.63,0.682,2.733,
2126,0.787,0.753,2.798,0.903
2926,1.295,0.625,,0.893
3717,0.777,0.555,2.393,5.0
5176,0.843,0.489,0.914,1.411
906,1.1,,1.791,1.017
28,1.635,0.475,1.706,0.468
1030,0.914,0.717,1.395,0.768
2507,3.28,0.83,,0.415
2428,0.86,0.507,3.192,1.378
947,0.898,0.569,1.734,1.128
4313,3.323,0.81,1.452,0.388
762,2.011,3.134,1.948,1.678
3747,0.91,,1.39,0.552
715,,0.589,1.659,0.964
284,,0.801,2.014,1.908
686,3.273,0.756,,0.426
703,2.965,0.646,1.579,0.738
3341,0.773,0.748,1.515,0.773
2353,0.785,0.726,1.527,0.796
2257,1.491,0.458,1.771,1.068
4397,2.181,0.436,1.904,1.525
473,1.316,0.482,1.829,1.27
21,0.811,0.479,1.698,0.473
2752,0.818,1.009,1.196,3.683
885,1.339,0.736,1.405,0.772
3977,0.911,0.746,2.662,0.895
2448,0.869,0.489,0.941,1.37
917,,0.586,1.726,1.194
2571,1.907,0.556,1.853,1.535
1040,1.341,0.67,,0.873
2239,1.809,0.484,,0.997
730,2.448,0.528,1.766,1.245
3395,,0.584,1.151,
1265,2.371,0.604,,1.192
483,1.402,0.494,1.8,0.589
4928,1.266,0.592,2.147,0.663
2963,0.972,0.503,,1.217
1219,0.826,0.897,2.016,5.0
277,1.04,0.748,2.928,1.765
988,0.881,0.693,1.259,0.512
2084,1.012,,2.281,0.75
1245,1.699,0.793,2.615,1.037
2382,1.557,0.752,1.601,0.685
571,1.374,0.656,4.051,
1435,0.799,0.778,1.447,
3902,,0.742,,1.669
993,0.904,0.711,1.254,0.502
1247,1.681,0.785,2.624,
4095,,0.464,,1.185
585,1.102,0.562,5.0,
3526,2.323,0.524,1.791,1.374
4326,3.11,0.715,,0.598
2514,3.191,,1.448,0.503
1349,1.726,0.418,1.812,
1007,1.627,0.811,1.311,0.614
674,3.335,0.425,1.421,0.367
2412,1.147,0.611,,
2903,0.86,0.665,1.444,0.785
447,1.496,0.485,1.873,1.09
5141,1.06,0.586,1.123,1.193
2913,1.321,0.635,1.482,0.867
4250,0.831,0.468,2.647,1.412
359,1.813,0.357,2.644,
2064,0.756,,3.018,1.712
5369,0.818,3.661,0.881,2.53
4316,3.288,0.79,,0.421
1690,1.838,,1.95,1.841
4717,0.91,0.504,3.201,1.306
1985,0.848,0.513,1.734,1.377
294,0.981,0.78,2.387,1.703
1547,0.839,0.465,1.396,0.489
2012,1.47,0.486,1.774,1.17
588,1.046,0.543,3.17,1.163
3329,0.779,0.744,,0.834
2403,1.32,0.668,,0.923
2129,,0.85,2.794,0.887
3998,2.64,0.685,2.729,0.96
4787,1.178,,1.846,1.525
3741,1.664,0.741,1.377,
3508,2.659,0.63,1.655,1.043
2719,0.823,1.027,0.892,2.468
4971,1.525,0.485,1.804,1.068
4977,1.527,0.484,1.806,
556,1.57,0.741,,0.64
2469,,,1.454,0.531
3738,,0.577,1.372,0.524
1716,1.221,2.177,1.511,2.2
2604,1.672,1.405,1.746,2.009
4508,,0.828,,3.668
1704,1.36,0.72,1.672,2.026
2139,0.774,,2.143,4.296
3239,0.802,0.497,1.853,1.076
2383,0.791,0.755,1.599,0.686
1285,1.007,0.539,,1.479
4656,,0.753,1.37,0.577
4879,0.784,0.383,2.147,0.885
3930,0.941,0.781,2.859,5.0
4310,3.333,0.818,1.448,0.375
1591,3.104,0.715,1.505,0.595
4840,1.007,0.778,2.897,1.59
2162,1.818,0.341,2.18,
2396,1.443,0.708,2.873,0.8
317,0.792,0.769,2.479,1.272
4903,2.089,0.438,2.713,0.959
3111,0.786,,2.779,1.274
4036,1.943,0.525,1.885,0.91
795,1.347,,1.551,2.159
3020,1.315,,1.6,1.271
1711,1.291,0.937,1.576,2.144
3387,,0.638,1.305,1.006
36,1.611,0.473,2.596,0.483
913,,0.619,1.738,1.153
3972,0.917,0.747,,0.888
4133,1.122,0.611,1.668,1.675
974,0.88,,2.889,0.549
983,0.878,0.696,1.274,0.512
4458,1.263,,1.475,2.228
1418,,0.683,1.553,0.713
1560,5.0,,1.392,0.462
4135,1.084,0.627,1.649,1.72
1355,1.679,0.416,,
5179,0.587,,2.614,1.412
987,0.878,0.694,1.256,
2682,1.181,1.18,,
1640,2.397,0.45,1.842,1.287
1290,0.913,0.505,1.937,1.566
3681,0.915,0.665,1.667,
1380,1.422,0.453,1.839,0.794
1933,0.851,0.67,1.444,0.71
4602,0.826,0.55,,1.157
3160,0.936,0.35,2.656,0.856
2030,,,1.85,1.12
892,1.325,,1.387,0.786
4069,1.724,0.469,2.063,1.067
2,1.687,0.449,2.334,0.429
2109,1.015,0.732,,1.704
849,0.778,0.807,1.303,3.642
2737,0.821,0.946,1.158,2.424
2466,0.863,0.452,2.611,0.509
1914,0.94,0.746,1.366,0.516
1596,3.019,,1.547,0.678
1913,1.682,0.751,1.361,0.502
5142,1.042,0.58,1.105,1.211
2736,0.821,0.948,1.156,2.41
726,2.527,0.553,1.736,1.169
53,1.457,0.473,,0.597
1796,,0.751,1.413,0.731
3845,1.414,0.487,1.792,0.578
2553,2.474,0.551,1.729,
2800,0.852,0.658,0.927,1.215
936,,0.58,1.717,1.214
4506,0.786,0.831,1.284,2.705
824,0.928,0.797,1.321,2.506
3401,0.712,,1.041,1.273
1389,1.333,0.474,1.811,0.872
3564,1.727,1.381,1.798,1.968
884,1.34,0.74,1.404,0.771
1868,,,1.703,1.309
10,0.735,,2.315,0.457
3415,,0.501,2.584,1.358
1463,1.466,0.774,,0.748
806,1.213,2.267,1.414,3.253
5383,0.822,0.845,,2.565
4068,1.724,0.469,2.062,1.067
2108,1.023,,2.933,
4618,0.824,0.526,2.616,0.589
5405,0.816,0.916,,3.628
2234,1.879,0.498,1.926,0.942
963,0.891,0.535,2.617,1.086
2632,1.558,1.419,1.639,2.065
704,,0.65,1.585,0.757
431,0.573,0.504,1.852,1.067
145,1.508,0.733,1.385,0.705
2033,1.33,0.513,1.669,1.332
4587,0.828,0.568,0.898,1.286
1165,0.831,,2.021,1.696
3500,,0.675,1.596,0.896
2050,1.045,0.613,3.084,1.648
3760,1.524,0.684,1.436,0.656
2624,1.556,1.413,1.673,2.053
4357,2.791,0.6,1.679,0.917
4235,0.628,0.506,0.953,1.355
2424,0.666,0.541,0.984,
1262,2.421,0.571,2.479,1.152
1771,0.775,0.775,1.334,3.633
3511,2.601,0.609,1.677,1.099
271,1.473,0.71,2.283,1.269
244,1.309,0.531,,1.291
2032,1.342,0.509,1.85,
4320,3.224,,1.494,0.485
813,1.118,0.821,1.371,2.358
3810,0.834,0.494,1.744,1.386
4438,1.677,1.424,1.765,1.964
1804,1.381,0.737,1.44,0.733
2461,0.865,0.463,,
545,0.769,0.783,1.564,0.668
3241,0.802,0.496,1.853,1.064
738,2.297,0.476,1.827,1.394
310,,0.779,2.418,2.315
3521,2.415,0.543,1.751,1.282
1131,1.38,0.502,2.027,0.568
5367,0.815,,1.254,2.607
4111,1.434,0.49,,0.817
2769,0.817,0.842,1.641,0.892
920,0.921,0.586,1.724,1.19
3587,,1.319,1.435,2.312
3959,0.77,0.392,2.765,0.919
38,1.603,,1.682,0.494
2983,0.835,0.484,1.938,
5443,1.168,0.712,1.232,0.898
2667,1.34,,1.501,2.189
3223,1.976,0.549,2.085,0.887
1182,1.4,0.828,1.894,
614,0.508,0.449,3.246,1.385
5353,1.005,0.933,1.233,2.326
1466,1.448,0.768,1.504,0.766
3042,1.024,0.63,1.915,
934,0.899,0.581,,1.212
2419,1.013,0.567,1.076,1.226
5096,,0.733,1.569,0.71
4427,,1.437,1.965,1.809
826,0.889,0.804,1.313,2.542
1521,0.852,0.512,3.17,
2930,1.287,0.622,,0.901
4232,0.715,0.529,1.011,1.299
628,0.826,0.431,2.639,
3853,,0.499,1.638,1.061
390,,0.664,2.072,0.955
5316,1.44,2.738,1.539,2.183
3990,2.075,0.404,2.714,0.94
400,1.35,0.624,2.795,0.601
3359,0.797,0.756,2.913,0.709
46,1.159,0.471,2.535,0.552
5233,3.137,0.738,1.518,0.575
5370,0.82,4.409,0.887,
3642,0.805,0.887,1.268,4.834
3726,0.763,0.55,2.862,0.637
5295,1.855,1.492,1.912,1.846
2421,0.733,0.555,1.039,1.262
1750,0.776,0.793,1.321,2.654
5274,2.411,0.516,1.776,
4473,1.083,0.844,1.34,
4062,,0.471,1.788,1.071
338,1.815,,,0.926
215,1.198,0.456,1.926,1.042
3663,1.241,0.77,1.31,0.879
1341,1.732,0.418,1.813,1.028
4994,1.732,0.483,1.991,1.073
3894,1.065,0.685,2.248,0.777
3640,0.803,0.871,1.258,
329,,,2.211,1.172
3004,1.098,,,1.095
5215,,0.468,1.442,0.415
3115,0.785,0.77,2.783,0.941
5277,2.351,0.504,1.792,1.354
2322,,0.501,1.773,0.923
4197,1.527,,1.594,0.727
3549,1.771,0.571,1.941,
1458,0.821,,2.926,0.753
171,1.026,0.562,3.141,1.183
4203,1.48,0.732,1.557,0.774
4577,0.826,,1.678,1.291
3569,1.649,1.372,1.681,2.042
4226,1.06,0.573,,1.19
4456,1.29,2.204,1.503,2.23
4501,0.786,0.841,1.284,2.664
938,0.895,0.579,1.717,1.215
60,1.39,0.486,,0.65
1240,0.925,0.799,2.609,0.974
4567,0.897,0.606,1.693,1.225
2120,0.886,0.735,2.856,0.858
1524,0.858,0.508,,1.355
153,1.358,0.683,1.438,0.854
481,,,1.808,1.347
3920,1.597,0.757,2.063,1.769
1762,0.78,0.786,1.327,3.625
750,2.12,0.467,1.899,1.569
1785,0.767,0.791,1.378,0.756
2711,0.847,2.58,1.121,2.557
